subject,frequency
gnd:4290091-8,13
gnd:4531334-9,5
gnd:4243777-5,1
gnd:4773018-3,7
gnd:4695098-9,1
gnd:4325632-6,1
gnd:4381336-7,2
gnd:4185867-0,3
gnd:4293230-0,14
gnd:4348527-3,5
gnd:4001705-9,5
gnd:4014988-2,23
gnd:4393622-2,22
gnd:1047992337,1
gnd:4038571-1,13
gnd:4135603-2,16
gnd:4596917-6,8
gnd:4135212-9,3
gnd:4278804-3,4
gnd:4046800-8,6
gnd:4046804-5,13
gnd:4264352-1,6
gnd:4120759-2,1
gnd:4139402-1,63
gnd:4143526-6,2
gnd:4140067-7,7
gnd:4024772-7,14
gnd:4067486-1,69
gnd:4020202-1,17
gnd:4177303-2,5
gnd:4142706-3,1
gnd:4190891-0,1
gnd:4033734-0,8
gnd:4172682-0,1
gnd:4143096-7,1
gnd:4174517-6,8
gnd:4027606-5,6
gnd:4150833-6,11
gnd:4123579-4,10
gnd:7543825-2,5
gnd:4161308-9,5
gnd:4067660-2,22
gnd:7755315-9,16
gnd:4157727-9,2
gnd:4255712-4,3
gnd:4045539-7,51
gnd:4136726-1,8
gnd:4123145-4,1
gnd:4121460-2,3
gnd:4012277-3,23
gnd:4160676-0,2
gnd:4553251-5,2
gnd:4154585-0,3
gnd:4145660-9,4
gnd:4142729-4,6
gnd:4226961-1,7
gnd:4195351-4,15
gnd:4121256-3,6
gnd:4125988-9,6
gnd:4115530-0,6
gnd:4122125-4,14
gnd:4204276-8,2
gnd:4027296-5,17
gnd:4409616-1,24
gnd:4356922-5,15
gnd:4642127-0,2
gnd:4140660-6,22
gnd:4141256-4,1
gnd:4015035-5,3
gnd:4177011-0,7
gnd:4687059-3,18
gnd:4328500-4,6
gnd:4274324-2,228
gnd:4528688-7,4
gnd:4428654-5,193
gnd:4137481-2,1
gnd:4144255-6,1
gnd:4234583-2,10
gnd:4222149-3,28
gnd:4264163-9,14
gnd:4311267-5,10
gnd:4180831-9,2
gnd:4159123-9,7
gnd:4182042-3,1
gnd:4055957-9,14
gnd:4141098-1,1
gnd:4537896-4,2
gnd:4048606-0,20
gnd:4576163-2,22
gnd:4696541-5,1
gnd:4448520-7,4
gnd:4176916-8,20
gnd:4299578-4,9
gnd:4136102-7,25
gnd:4491198-1,5
gnd:4131193-0,44
gnd:4361685-9,2
gnd:4611085-9,92
gnd:4280827-3,5
gnd:4056995-0,402
gnd:1069362352,1
gnd:4179579-9,2
gnd:4222910-8,6
gnd:4444367-5,3
gnd:4160597-4,1
gnd:4280290-8,1
gnd:4115572-5,6
